-118.240207,34.0587109991
-118.239507,34.0584109991
-118.237706,34.0584109991
-118.229806,34.0561109991
-118.227306,34.0551109991
-118.228906,34.0532109991
-118.230306,34.0480119991
-118.228406,34.0386119991
-118.227406,34.0345119991
-118.226464,34.0294349991
-118.226206,34.0293119991
-118.223906,34.0185129991
-118.222912809,34.014942445
-118.223232,34.0149409991
-118.223395,34.0153689991
-118.223705,34.0153629991
-118.223692,34.0149419991
-118.225696,34.0149369991
-118.225707,34.0153189991
-118.227501,34.0152809991
-118.227673,34.0149209991
-118.239708179,34.0147062279
-118.239506,34.0200129991
-118.244006,34.0209129991
-118.253307,34.0259129991
-118.274107,34.0354119991
-118.274007,34.0384119991
-118.273601,34.0411339991
-118.272807,34.0429119991
-118.271807,34.0444119991
-118.271207,34.0451119991
-118.270507,34.0456119991
-118.260961,34.0512649991
-118.26148,34.0515719991
-118.260745,34.0519779991
-118.259729,34.0529999991
-118.259807,34.0531109991
-118.259107,34.0539109991
-118.255793,34.0574249991
-118.254207,34.0593109991
-118.252307,34.0623109991
-118.249307,34.0653109991
-118.244607,34.0613109991
-118.240207,34.0587109991
